date,item_name,style_type,price,stock_level,quantity_sold,promotion,is_weekend,is_holiday,appointments_per_day,day_of_week,month,item_style,lag_sales,rolling_avg_3,units_per_appt,stock_pressure
2024-01-02,mousse,box_braids,9.33,42.0,27,0,0,0,12,1,1,mousse_box_braids,31.0,24.41269841269841,2.076923076923077,3.230769230769231
2024-01-02,hairspray,knotless,6.88,51.0,23,0,0,0,12,1,1,hairspray_knotless,22.0,24.41269841269841,1.7692307692307692,3.923076923076923
2024-01-03,premium_braiding_hair,cornrows,18.97,61.0,31,0,0,0,5,2,1,premium_braiding_hair_cornrows,46.0,37.333333333333336,5.166666666666667,10.166666666666666
2024-01-03,standard_braiding_hair,knotless,,65.0,27,0,0,0,12,2,1,standard_braiding_hair_knotless,39.0,27.666666666666668,2.076923076923077,5.0
2024-01-03,beads,cornrows,4.78,18.0,18,0,0,0,9,2,1,beads_cornrows,20.0,18.0,1.8,1.8
2024-01-03,edge_control,box_braids,7.82,42.0,25,0,0,0,11,2,1,edge_control_box_braids,11.0,15.666666666666666,2.0833333333333335,3.5
2024-01-03,hair_gel,knotless,5.47,42.0,15,0,0,0,5,2,1,hair_gel_knotless,19.0,17.333333333333332,2.5,7.0
2024-01-03,mousse,knotless,8.64,76.0,30,1,0,0,11,2,1,mousse_knotless,27.0,29.333333333333332,2.5,6.333333333333333
2024-01-03,hairspray,box_braids,8.01,17.0,11,0,0,0,12,2,1,hairspray_box_braids,23.0,18.666666666666668,0.8461538461538461,1.3076923076923077
2024-01-04,premium_braiding_hair,box_braids,18.91,38.0,38,0,0,0,9,3,1,premium_braiding_hair_box_braids,31.0,38.333333333333336,3.8,3.8
2024-01-04,standard_braiding_hair,cornrows,15.26,66.0,24,0,0,0,8,3,1,standard_braiding_hair_cornrows,27.0,30.0,2.6666666666666665,7.333333333333333
2024-01-04,beads,twists,6.0,70.0,26,0,0,0,9,3,1,beads_twists,18.0,21.333333333333332,2.6,7.0
2024-01-04,edge_control,box_braids,6.43,15.0,15,0,0,0,8,3,1,edge_control_box_braids,25.0,17.0,1.6666666666666667,1.6666666666666667
2024-01-04,hair_gel,twists,7.23,69.0,23,0,0,0,8,3,1,hair_gel_twists,15.0,19.0,2.5555555555555554,7.666666666666667
2024-01-04,mousse,cornrows,9.51,25.0,20,1,0,0,6,3,1,mousse_cornrows,30.0,25.666666666666668,2.857142857142857,3.5714285714285716
2024-01-04,hairspray,box_braids,8.87,33.0,22,0,0,0,11,3,1,hairspray_box_braids,11.0,18.666666666666668,1.8333333333333333,2.75
2024-01-05,premium_braiding_hair,knotless,17.86,66.0,44,0,0,0,5,4,1,premium_braiding_hair_knotless,38.0,37.666666666666664,7.333333333333333,11.0
2024-01-05,standard_braiding_hair,cornrows,14.11,64.0,35,1,0,0,11,4,1,standard_braiding_hair_cornrows,24.0,28.666666666666668,2.9166666666666665,5.333333333333333
2024-01-05,beads,cornrows,5.23,30.0,28,0,0,0,15,4,1,beads_cornrows,26.0,24.0,1.75,1.875
2024-01-05,edge_control,twists,7.15,23.0,23,0,0,0,13,4,1,edge_control_twists,15.0,21.0,1.6428571428571428,1.6428571428571428
2024-01-05,hair_gel,box_braids,6.92,38.0,18,1,0,0,13,4,1,hair_gel_box_braids,23.0,18.666666666666668,1.2857142857142858,2.7142857142857144
2024-01-05,mousse,twists,8.29,32.0,23,0,0,0,9,4,1,mousse_twists,20.0,24.333333333333332,2.3,3.2
2024-01-05,hairspray,twists,8.73,75.0,5,0,0,0,9,4,1,hairspray_twists,22.0,12.666666666666666,0.5,7.5
2024-01-06,premium_braiding_hair,box_braids,16.89,22.0,22,0,1,0,7,5,1,premium_braiding_hair_box_braids,44.0,34.666666666666664,2.75,2.75
2024-01-06,standard_braiding_hair,cornrows,13.63,73.0,36,0,1,0,7,5,1,standard_braiding_hair_cornrows,35.0,31.666666666666668,4.5,9.125
2024-01-06,beads,knotless,5.41,22.0,22,0,1,0,7,5,1,beads_knotless,28.0,25.333333333333332,2.75,2.75
2024-01-06,edge_control,cornrows,6.63,78.0,19,0,1,0,4,5,1,edge_control_cornrows,23.0,19.0,3.8,15.6
2024-01-06,hair_gel,twists,5.86,31.0,19,0,1,0,11,5,1,hair_gel_twists,18.0,20.0,1.5833333333333333,2.5833333333333335
2024-01-06,mousse,twists,9.61,38.0,30,0,1,0,9,5,1,mousse_twists,23.0,24.333333333333332,3.0,3.8
2024-01-06,hairspray,cornrows,8.78,46.0,12,1,1,0,4,5,1,hairspray_cornrows,5.0,13.0,2.4,9.2
2024-01-07,premium_braiding_hair,cornrows,18.63,68.0,32,0,1,0,9,6,1,premium_braiding_hair_cornrows,22.0,32.666666666666664,3.2,6.8
2024-01-07,standard_braiding_hair,twists,16.39,41.0,38,0,1,0,15,6,1,standard_braiding_hair_twists,36.0,36.333333333333336,2.375,2.5625
2024-01-07,beads,knotless,5.45,57.0,30,0,1,0,11,6,1,beads_knotless,22.0,26.666666666666668,2.5,4.75
2024-01-07,edge_control,knotless,7.26,27.0,27,1,1,0,15,6,1,edge_control_knotless,19.0,23.0,1.6875,1.6875
2024-01-07,hair_gel,twists,5.83,79.0,38,1,1,0,11,6,1,hair_gel_twists,19.0,25.0,3.1666666666666665,6.583333333333333
2024-01-07,mousse,knotless,7.5,46.0,33,1,1,0,7,6,1,mousse_knotless,30.0,28.666666666666668,4.125,5.75
2024-01-07,hairspray,cornrows,8.69,76.0,17,0,1,0,6,6,1,hairspray_cornrows,12.0,11.333333333333334,2.4285714285714284,10.857142857142858
2024-01-08,premium_braiding_hair,knotless,18.43,22.0,22,0,0,0,5,0,1,premium_braiding_hair_knotless,32.0,25.333333333333332,3.6666666666666665,3.6666666666666665
2024-01-08,standard_braiding_hair,box_braids,14.23,61.0,35,0,0,0,13,0,1,standard_braiding_hair_box_braids,38.0,36.333333333333336,2.5,4.357142857142857
2024-01-08,beads,twists,5.19,31.0,21,1,0,0,11,0,1,beads_twists,30.0,24.333333333333332,1.75,2.5833333333333335
2024-01-08,edge_control,twists,7.5,76.0,9,0,0,0,8,0,1,edge_control_twists,27.0,18.333333333333332,1.0,8.444444444444445
2024-01-08,hair_gel,box_braids,6.83,62.0,17,0,0,0,12,0,1,hair_gel_box_braids,38.0,24.666666666666668,1.3076923076923077,4.769230769230769
2024-01-08,mousse,box_braids,11.12,78.0,31,1,0,0,6,0,1,mousse_box_braids,33.0,31.333333333333332,4.428571428571429,11.142857142857142
2024-01-08,hairspray,cornrows,8.23,,11,0,0,0,13,0,1,hairspray_cornrows,17.0,13.333333333333334,0.7857142857142857,5.071428571428571
2024-01-09,premium_braiding_hair,box_braids,17.45,62.0,52,0,0,0,9,1,1,premium_braiding_hair_box_braids,22.0,35.333333333333336,5.2,6.2
2024-01-09,standard_braiding_hair,knotless,,48.0,36,0,0,0,13,1,1,standard_braiding_hair_knotless,35.0,36.333333333333336,2.5714285714285716,3.4285714285714284
2024-01-09,beads,twists,6.93,15.0,15,0,0,0,14,1,1,beads_twists,21.0,22.0,1.0,1.0
2024-01-09,edge_control,twists,7.06,46.0,17,0,0,0,11,1,1,edge_control_twists,9.0,17.666666666666668,1.4166666666666667,3.8333333333333335
2024-01-09,hair_gel,cornrows,8.13,47.0,23,0,0,0,11,1,1,hair_gel_cornrows,17.0,26.0,1.9166666666666667,3.9166666666666665
2024-01-09,mousse,box_braids,10.06,57.0,22,0,0,0,4,1,1,mousse_box_braids,31.0,28.666666666666668,4.4,11.4
2024-01-09,hairspray,twists,9.23,49.0,8,0,0,0,7,1,1,hairspray_twists,11.0,12.0,1.0,6.125
2024-01-10,premium_braiding_hair,box_braids,17.64,43.0,43,1,0,0,6,2,1,premium_braiding_hair_box_braids,52.0,39.0,6.142857142857143,6.142857142857143
2024-01-10,standard_braiding_hair,twists,16.68,24.0,24,0,0,0,12,2,1,standard_braiding_hair_twists,36.0,31.666666666666668,1.8461538461538463,1.8461538461538463
2024-01-10,beads,cornrows,3.78,38.0,17,1,0,0,4,2,1,beads_cornrows,15.0,17.666666666666668,3.4,7.6
2024-01-10,edge_control,cornrows,7.01,44.0,30,1,0,0,14,2,1,edge_control_cornrows,17.0,18.666666666666668,2.0,2.933333333333333
2024-01-10,hair_gel,twists,5.7,26.0,15,0,0,0,12,2,1,hair_gel_twists,23.0,18.333333333333332,1.1538461538461537,2.0
2024-01-10,mousse,box_braids,7.21,30.0,30,1,0,0,10,2,1,mousse_box_braids,22.0,27.666666666666668,2.727272727272727,2.727272727272727
2024-01-10,hairspray,box_braids,8.25,67.0,12,0,0,0,8,2,1,hairspray_box_braids,8.0,10.333333333333334,1.3333333333333333,7.444444444444445
2024-01-11,premium_braiding_hair,knotless,18.61,23.0,23,1,0,0,15,3,1,premium_braiding_hair_knotless,43.0,39.333333333333336,1.4375,1.4375
2024-01-11,standard_braiding_hair,box_braids,14.62,23.0,23,1,0,0,14,3,1,standard_braiding_hair_box_braids,24.0,27.666666666666668,1.5333333333333334,1.5333333333333334
2024-01-11,beads,knotless,4.68,79.0,19,0,0,0,5,3,1,beads_knotless,17.0,17.0,3.1666666666666665,13.166666666666666
2024-01-11,edge_control,cornrows,8.36,45.0,27,1,0,0,11,3,1,edge_control_cornrows,30.0,24.666666666666668,2.25,3.75
2024-01-11,hair_gel,cornrows,,33.0,24,0,0,0,10,3,1,hair_gel_cornrows,15.0,20.666666666666668,2.1818181818181817,3.0
2024-01-11,mousse,box_braids,9.47,75.0,27,0,0,0,6,3,1,mousse_box_braids,30.0,26.333333333333332,3.857142857142857,10.714285714285714
2024-01-11,hairspray,cornrows,7.45,76.0,19,0,0,0,13,3,1,hairspray_cornrows,12.0,13.0,1.3571428571428572,5.428571428571429
2024-01-12,premium_braiding_hair,box_braids,18.01,50.0,50,1,0,0,3,4,1,premium_braiding_hair_box_braids,23.0,38.666666666666664,12.5,12.5
2024-01-12,standard_braiding_hair,cornrows,14.57,63.0,27,0,0,0,8,4,1,standard_braiding_hair_cornrows,23.0,24.666666666666668,3.0,7.0
2024-01-12,beads,box_braids,4.3,,26,0,0,0,15,4,1,beads_box_braids,19.0,20.666666666666668,1.625,1.625
2024-01-12,edge_control,knotless,4.88,50.0,19,0,0,0,16,4,1,edge_control_knotless,27.0,25.333333333333332,1.1176470588235294,2.9411764705882355
2024-01-12,hair_gel,knotless,5.23,41.0,9,0,0,0,8,4,1,hair_gel_knotless,24.0,16.0,1.0,4.555555555555555
2024-01-12,mousse,knotless,7.68,27.0,24,0,0,0,15,4,1,mousse_knotless,27.0,27.0,1.5,1.6875
2024-01-12,hairspray,twists,8.19,47.0,15,1,0,0,15,4,1,hairspray_twists,19.0,15.333333333333334,0.9375,2.9375
2024-01-13,premium_braiding_hair,knotless,18.28,73.0,55,0,1,0,10,5,1,premium_braiding_hair_knotless,50.0,42.666666666666664,5.0,6.636363636363637
2024-01-13,standard_braiding_hair,knotless,14.52,19.0,19,0,1,0,10,5,1,standard_braiding_hair_knotless,27.0,23.0,1.7272727272727273,1.7272727272727273
2024-01-13,beads,knotless,4.26,31.0,30,0,1,0,10,5,1,beads_knotless,26.0,25.0,2.727272727272727,2.8181818181818183
2024-01-13,edge_control,box_braids,7.54,46.0,19,1,1,0,8,5,1,edge_control_box_braids,19.0,21.666666666666668,2.111111111111111,5.111111111111111
2024-01-13,hair_gel,knotless,7.28,48.0,14,0,1,0,7,5,1,hair_gel_knotless,9.0,15.666666666666666,1.75,6.0
2024-01-13,mousse,knotless,10.76,71.0,48,1,1,0,9,5,1,mousse_knotless,24.0,33.0,4.8,7.1
2024-01-13,hairspray,box_braids,8.23,65.0,23,0,1,0,11,5,1,hairspray_box_braids,15.0,19.0,1.9166666666666667,5.416666666666667
2024-01-14,premium_braiding_hair,knotless,19.44,65.0,54,0,1,0,12,6,1,premium_braiding_hair_knotless,55.0,53.0,4.153846153846154,5.0
2024-01-14,standard_braiding_hair,cornrows,15.98,44.0,41,0,1,0,11,6,1,standard_braiding_hair_cornrows,19.0,29.0,3.4166666666666665,3.6666666666666665
2024-01-14,beads,box_braids,4.86,31.0,31,1,1,0,10,6,1,beads_box_braids,30.0,29.0,2.8181818181818183,2.8181818181818183
2024-01-14,edge_control,twists,6.88,57.0,21,0,1,0,5,6,1,edge_control_twists,19.0,19.666666666666668,3.5,9.5
2024-01-14,hair_gel,box_braids,7.5,30.0,10,0,1,0,9,6,1,hair_gel_box_braids,14.0,11.0,1.0,3.0
2024-01-14,mousse,twists,8.01,41.0,25,0,1,0,11,6,1,mousse_twists,48.0,32.333333333333336,2.0833333333333335,3.4166666666666665
2024-01-14,hairspray,knotless,9.05,56.0,16,0,1,0,11,6,1,hairspray_knotless,23.0,18.0,1.3333333333333333,4.666666666666667
2024-01-15,premium_braiding_hair,box_braids,17.45,26.0,26,0,0,0,10,0,1,premium_braiding_hair_box_braids,54.0,45.0,2.3636363636363638,2.3636363636363638
2024-01-15,standard_braiding_hair,knotless,14.73,61.0,22,0,0,0,6,0,1,standard_braiding_hair_knotless,41.0,27.333333333333332,3.142857142857143,8.714285714285714
2024-01-15,beads,box_braids,4.89,62.0,30,0,0,0,10,0,1,beads_box_braids,31.0,30.333333333333332,2.727272727272727,5.636363636363637
2024-01-15,edge_control,box_braids,7.04,61.0,17,0,0,0,9,0,1,edge_control_box_braids,21.0,19.0,1.7,6.1
2024-01-15,hair_gel,cornrows,6.85,,16,1,0,0,9,0,1,hair_gel_cornrows,10.0,13.333333333333334,1.6,1.6
2024-01-15,mousse,cornrows,9.9,29.0,22,1,0,0,7,0,1,mousse_cornrows,25.0,31.666666666666668,2.75,3.625
2024-01-15,hairspray,twists,6.44,71.0,5,0,0,0,7,0,1,hairspray_twists,16.0,14.666666666666666,0.625,8.875
2024-01-16,premium_braiding_hair,box_braids,18.65,32.0,32,0,0,0,10,1,1,premium_braiding_hair_box_braids,26.0,37.333333333333336,2.909090909090909,2.909090909090909
2024-01-16,standard_braiding_hair,cornrows,13.96,54.0,33,0,0,0,14,1,1,standard_braiding_hair_cornrows,22.0,32.0,2.2,3.6
2024-01-16,beads,box_braids,5.84,73.0,23,0,0,0,9,1,1,beads_box_braids,30.0,28.0,2.3,7.3
2024-01-16,edge_control,twists,6.35,67.0,16,1,0,0,3,1,1,edge_control_twists,17.0,18.0,4.0,16.75
2024-01-16,hair_gel,cornrows,6.15,20.0,19,0,0,0,8,1,1,hair_gel_cornrows,16.0,15.0,2.111111111111111,2.2222222222222223
2024-01-16,mousse,knotless,9.29,71.0,21,0,0,0,7,1,1,mousse_knotless,22.0,22.666666666666668,2.625,8.875
2024-01-16,hairspray,knotless,8.57,33.0,17,0,0,0,15,1,1,hairspray_knotless,5.0,12.666666666666666,1.0625,2.0625
2024-01-17,premium_braiding_hair,twists,18.64,28.0,28,0,0,0,5,2,1,premium_braiding_hair_twists,32.0,28.666666666666668,4.666666666666667,4.666666666666667
2024-01-17,standard_braiding_hair,cornrows,13.32,20.0,20,1,0,0,5,2,1,standard_braiding_hair_cornrows,33.0,25.0,3.3333333333333335,3.3333333333333335
2024-01-17,beads,knotless,6.01,16.0,16,0,0,0,16,2,1,beads_knotless,23.0,23.0,0.9411764705882353,0.9411764705882353
2024-01-17,edge_control,box_braids,6.4,49.0,25,0,0,0,8,2,1,edge_control_box_braids,16.0,19.333333333333332,2.7777777777777777,5.444444444444445
2024-01-17,hair_gel,knotless,5.49,23.0,23,1,0,0,8,2,1,hair_gel_knotless,19.0,19.333333333333332,2.5555555555555554,2.5555555555555554
2024-01-17,mousse,box_braids,,25.0,25,0,0,0,6,2,1,mousse_box_braids,21.0,22.666666666666668,3.5714285714285716,3.5714285714285716
2024-01-17,hairspray,box_braids,8.54,51.0,22,1,0,0,12,2,1,hairspray_box_braids,17.0,14.666666666666666,1.6923076923076923,3.923076923076923
2024-01-18,premium_braiding_hair,knotless,16.29,32.0,32,1,0,0,13,3,1,premium_braiding_hair_knotless,28.0,30.666666666666668,2.2857142857142856,2.2857142857142856
2024-01-18,standard_braiding_hair,twists,12.67,52.0,44,1,0,0,15,3,1,standard_braiding_hair_twists,20.0,32.333333333333336,2.75,3.25
2024-01-18,beads,box_braids,5.82,67.0,25,0,0,0,14,3,1,beads_box_braids,16.0,21.333333333333332,1.6666666666666667,4.466666666666667
2024-01-18,edge_control,twists,7.92,21.0,11,0,0,0,10,3,1,edge_control_twists,25.0,17.333333333333332,1.0,1.9090909090909092
2024-01-18,hair_gel,twists,8.27,41.0,24,1,0,0,13,3,1,hair_gel_twists,23.0,22.0,1.7142857142857142,2.9285714285714284
2024-01-18,mousse,twists,10.64,24.0,24,0,0,0,12,3,1,mousse_twists,25.0,23.333333333333332,1.8461538461538463,1.8461538461538463
2024-01-18,hairspray,knotless,7.02,43.0,17,1,0,0,9,3,1,hairspray_knotless,22.0,18.666666666666668,1.7,4.3
2024-01-19,premium_braiding_hair,twists,18.03,,16,0,0,0,8,4,1,premium_braiding_hair_twists,32.0,25.333333333333332,1.7777777777777777,1.7777777777777777
2024-01-19,standard_braiding_hair,twists,13.76,25.0,25,0,0,0,9,4,1,standard_braiding_hair_twists,44.0,29.666666666666668,2.5,2.5
2024-01-19,beads,knotless,5.81,61.0,26,0,0,0,10,4,1,beads_knotless,25.0,22.333333333333332,2.3636363636363638,5.545454545454546
2024-01-19,edge_control,knotless,7.13,74.0,23,0,0,0,5,4,1,edge_control_knotless,11.0,19.666666666666668,3.8333333333333335,12.333333333333334
2024-01-19,hair_gel,cornrows,5.21,51.0,21,0,0,0,10,4,1,hair_gel_cornrows,24.0,22.666666666666668,1.9090909090909092,4.636363636363637
2024-01-19,mousse,twists,8.5,50.0,21,0,0,0,11,4,1,mousse_twists,24.0,23.333333333333332,1.75,4.166666666666667
2024-01-19,hairspray,knotless,6.42,54.0,18,0,0,0,8,4,1,hairspray_knotless,17.0,19.0,2.0,6.0
2024-01-20,premium_braiding_hair,box_braids,16.35,39.0,39,0,1,0,14,5,1,premium_braiding_hair_box_braids,16.0,29.0,2.6,2.6
2024-01-20,standard_braiding_hair,knotless,15.16,48.0,35,0,1,0,9,5,1,standard_braiding_hair_knotless,25.0,34.666666666666664,3.5,4.8
2024-01-20,beads,cornrows,4.73,66.0,28,0,1,0,12,5,1,beads_cornrows,26.0,26.333333333333332,2.1538461538461537,5.076923076923077
2024-01-20,edge_control,knotless,6.73,63.0,22,0,1,0,7,5,1,edge_control_knotless,23.0,18.666666666666668,2.75,7.875
2024-01-20,hair_gel,twists,5.09,27.0,12,0,1,0,6,5,1,hair_gel_twists,21.0,19.0,1.7142857142857142,3.857142857142857
2024-01-20,mousse,knotless,11.26,46.0,41,1,1,0,7,5,1,mousse_knotless,21.0,28.666666666666668,5.125,5.75
2024-01-20,hairspray,box_braids,8.11,61.0,12,0,1,0,8,5,1,hairspray_box_braids,18.0,15.666666666666666,1.3333333333333333,6.777777777777778
2024-01-21,premium_braiding_hair,knotless,17.64,52.0,52,0,1,0,3,6,1,premium_braiding_hair_knotless,39.0,35.666666666666664,13.0,13.0
2024-01-21,standard_braiding_hair,twists,15.53,,48,1,1,0,10,6,1,standard_braiding_hair_twists,35.0,36.0,4.363636363636363,4.363636363636363
2024-01-21,beads,twists,7.57,73.0,21,0,1,0,13,6,1,beads_twists,28.0,25.0,1.5,5.214285714285714
2024-01-21,edge_control,box_braids,5.95,22.0,22,1,1,0,10,6,1,edge_control_box_braids,22.0,22.333333333333332,2.0,2.0
2024-01-21,hair_gel,knotless,5.72,51.0,26,1,1,0,13,6,1,hair_gel_knotless,12.0,19.666666666666668,1.8571428571428572,3.642857142857143
2024-01-21,mousse,cornrows,7.75,74.0,30,1,1,0,6,6,1,mousse_cornrows,41.0,30.666666666666668,4.285714285714286,10.571428571428571
2024-01-21,hairspray,knotless,7.52,26.0,11,0,1,0,6,6,1,hairspray_knotless,12.0,13.666666666666666,1.5714285714285714,3.7142857142857144
2024-01-22,premium_braiding_hair,twists,17.46,38.0,28,0,0,0,13,0,1,premium_braiding_hair_twists,52.0,39.666666666666664,2.0,2.7142857142857144
2024-01-22,standard_braiding_hair,box_braids,15.87,28.0,28,1,0,0,9,0,1,standard_braiding_hair_box_braids,48.0,37.0,2.8,2.8
2024-01-22,beads,box_braids,4.82,18.0,18,0,0,0,13,0,1,beads_box_braids,21.0,22.333333333333332,1.2857142857142858,1.2857142857142858
2024-01-22,edge_control,knotless,8.35,32.0,15,0,0,0,6,0,1,edge_control_knotless,22.0,19.666666666666668,2.142857142857143,4.571428571428571
2024-01-22,hair_gel,box_braids,6.72,41.0,24,0,0,0,10,0,1,hair_gel_box_braids,26.0,20.666666666666668,2.1818181818181817,3.727272727272727
2024-01-22,mousse,box_braids,,,22,0,0,0,12,0,1,mousse_box_braids,30.0,31.0,1.6923076923076923,5.153846153846154
2024-01-22,hairspray,knotless,7.88,79.0,14,0,0,0,6,0,1,hairspray_knotless,11.0,12.333333333333334,2.0,11.285714285714286
2024-01-23,premium_braiding_hair,cornrows,17.08,25.0,25,0,0,0,10,1,1,premium_braiding_hair_cornrows,28.0,35.0,2.272727272727273,2.272727272727273
2024-01-23,standard_braiding_hair,box_braids,15.13,69.0,32,0,0,0,5,1,1,standard_braiding_hair_box_braids,28.0,36.0,5.333333333333333,11.5
2024-01-23,beads,cornrows,4.52,76.0,17,0,0,0,4,1,1,beads_cornrows,18.0,18.666666666666668,3.4,15.2
2024-01-23,edge_control,box_braids,8.77,57.0,22,0,0,0,16,1,1,edge_control_box_braids,15.0,19.666666666666668,1.2941176470588236,3.3529411764705883
2024-01-23,hair_gel,twists,5.69,58.0,13,1,0,0,5,1,1,hair_gel_twists,24.0,21.0,2.1666666666666665,9.666666666666666
2024-01-23,mousse,cornrows,8.77,76.0,19,1,0,0,8,1,1,mousse_cornrows,22.0,23.666666666666668,2.111111111111111,8.444444444444445
2024-01-23,hairspray,twists,8.27,39.0,19,1,0,0,11,1,1,hairspray_twists,14.0,14.666666666666666,1.5833333333333333,3.25
2024-01-24,premium_braiding_hair,cornrows,18.21,37.0,37,1,0,0,12,2,1,premium_braiding_hair_cornrows,25.0,30.0,2.8461538461538463,2.8461538461538463
2024-01-24,standard_braiding_hair,knotless,15.45,21.0,21,0,0,0,12,2,1,standard_braiding_hair_knotless,32.0,27.0,1.6153846153846154,1.6153846153846154
2024-01-24,beads,knotless,5.79,53.0,24,0,0,0,9,2,1,beads_knotless,17.0,19.666666666666668,2.4,5.3
2024-01-24,edge_control,cornrows,7.9,45.0,22,0,0,0,12,2,1,edge_control_cornrows,22.0,19.666666666666668,1.6923076923076923,3.4615384615384617
2024-01-24,hair_gel,box_braids,7.28,69.0,6,0,0,0,3,2,1,hair_gel_box_braids,13.0,14.333333333333334,1.5,17.25
2024-01-24,mousse,cornrows,9.15,39.0,18,0,0,0,9,2,1,mousse_cornrows,19.0,19.666666666666668,1.8,3.9
2024-01-24,hairspray,box_braids,9.07,46.0,19,0,0,0,15,2,1,hairspray_box_braids,19.0,17.333333333333332,1.1875,2.875
2024-01-25,premium_braiding_hair,twists,,71.0,32,0,0,0,13,3,1,premium_braiding_hair_twists,37.0,31.333333333333332,2.2857142857142856,5.071428571428571
2024-01-25,standard_braiding_hair,box_braids,13.24,19.0,19,1,0,0,11,3,1,standard_braiding_hair_box_braids,21.0,24.0,1.5833333333333333,1.5833333333333333
2024-01-25,beads,box_braids,5.45,44.0,20,0,0,0,8,3,1,beads_box_braids,24.0,20.333333333333332,2.2222222222222223,4.888888888888889
2024-01-25,edge_control,box_braids,5.79,26.0,11,0,0,0,12,3,1,edge_control_box_braids,22.0,18.333333333333332,0.8461538461538461,2.0
2024-01-25,hair_gel,cornrows,6.83,60.0,18,1,0,0,9,3,1,hair_gel_cornrows,6.0,12.333333333333334,1.8,6.0
2024-01-25,mousse,knotless,9.49,71.0,26,0,0,0,10,3,1,mousse_knotless,18.0,21.0,2.3636363636363638,6.454545454545454
2024-01-25,hairspray,knotless,10.5,63.0,18,0,0,0,11,3,1,hairspray_knotless,19.0,18.666666666666668,1.5,5.25
2024-01-26,premium_braiding_hair,box_braids,17.43,76.0,51,0,0,0,11,4,1,premium_braiding_hair_box_braids,32.0,40.0,4.25,6.333333333333333
2024-01-26,standard_braiding_hair,box_braids,14.87,28.0,28,0,0,0,11,4,1,standard_braiding_hair_box_braids,19.0,22.666666666666668,2.3333333333333335,2.3333333333333335
2024-01-26,beads,twists,6.08,19.0,19,0,0,0,13,4,1,beads_twists,20.0,21.0,1.3571428571428572,1.3571428571428572
2024-01-26,edge_control,cornrows,7.05,,19,0,0,0,9,4,1,edge_control_cornrows,11.0,17.333333333333332,1.9,1.9
2024-01-26,hair_gel,box_braids,6.22,54.0,12,0,0,0,8,4,1,hair_gel_box_braids,18.0,12.0,1.3333333333333333,6.0
2024-01-26,mousse,box_braids,9.54,70.0,34,1,0,0,17,4,1,mousse_box_braids,26.0,26.0,1.8888888888888888,3.888888888888889
2024-01-26,hairspray,box_braids,8.31,54.0,20,0,0,0,16,4,1,hairspray_box_braids,18.0,19.0,1.1764705882352942,3.176470588235294
2024-01-27,premium_braiding_hair,twists,18.32,,44,0,1,0,12,5,1,premium_braiding_hair_twists,51.0,42.333333333333336,3.3846153846153846,4.3076923076923075
2024-01-27,standard_braiding_hair,twists,14.17,,36,0,1,0,8,5,1,standard_braiding_hair_twists,28.0,27.666666666666668,4.0,4.888888888888889
2024-01-27,beads,cornrows,5.19,26.0,26,1,1,0,11,5,1,beads_cornrows,19.0,21.666666666666668,2.1666666666666665,2.1666666666666665
2024-01-27,edge_control,box_braids,7.19,44.0,20,0,1,0,10,5,1,edge_control_box_braids,19.0,16.666666666666668,1.8181818181818181,4.0
